Date,Ticker,Price,EMA20,MA30,MA50,MA100,MA200,AboveEMA20,Pct_Above_EMA20,Above30,Pct_Above_30,Above50,Pct_Above_50,Above100,Pct_Above_100,Above200,Pct_Above_200
2026-07-16,XBI,152.0,153.223397,147.016731,141.425001,134.742047,126.185944,No,-0.007984,Yes,0.033896,Yes,0.074775,Yes,0.128081,Yes,0.204572
2026-07-17,XBI,154.259995,153.32212,147.835308,141.837025,135.016192,126.462368,Yes,0.006117,Yes,0.043458,Yes,0.087586,Yes,0.14253,Yes,0.219809
2026-07-20,XBI,150.940002,153.095252,148.423669,142.104926,135.235258,126.71821,No,-0.014078,Yes,0.016954,Yes,0.062173,Yes,0.116129,Yes,0.191147
2026-07-21,XBI,154.5,153.229038,149.288876,142.524347,135.498716,126.985927,Yes,0.008295,Yes,0.034906,Yes,0.084025,Yes,0.140232,Yes,0.21667
2026-07-22,XBI,152.110001,153.122463,150.082408,142.874989,135.744368,127.23572,No,-0.006612,Yes,0.01351,Yes,0.064637,Yes,0.120562,Yes,0.195498
2026-07-23,XBI,152.229996,153.037466,150.781702,143.227232,135.994217,127.481084,No,-0.005276,Yes,0.009605,Yes,0.062857,Yes,0.119386,Yes,0.194138
2026-07-24,XBI,150.479996,152.793897,151.506914,143.541278,136.234758,127.717499,No,-0.015144,No,-0.006778,Yes,0.04834,Yes,0.104564,Yes,0.178225
2026-07-27,XBI,150.589996,152.584002,152.106253,143.838742,136.506869,127.954265,No,-0.013068,No,-0.009968,Yes,0.046936,Yes,0.103168,Yes,0.176905
2026-07-28,XBI,149.779999,152.316954,152.643626,144.139987,136.741709,128.178219,No,-0.016656,No,-0.01876,Yes,0.039129,Yes,0.09535,Yes,0.168529
2026-07-29,XBI,147.910004,151.897244,153.031752,144.48695,136.983024,128.387446,No,-0.02625,No,-0.033469,Yes,0.023691,Yes,0.079769,Yes,0.15206
2026-07-30,XBI,151.460007,151.855603,153.57351,144.965255,137.25884,128.62204,No,-0.002605,No,-0.013762,Yes,0.044802,Yes,0.103463,Yes,0.177559
2026-07-31,XBI,147.009995,151.394116,153.832066,145.372141,137.458987,128.83299,No,-0.028958,No,-0.044348,Yes,0.011267,Yes,0.069483,Yes,0.14109
2026-08-03,XBI,147.309998,151.005153,154.056333,145.686724,137.659037,129.046187,No,-0.02447,No,-0.043791,Yes,0.011142,Yes,0.070108,Yes,0.141529
2026-08-04,XBI,151.880005,151.088472,154.257,146.071329,137.915276,129.266053,Yes,0.005239,No,-0.015409,Yes,0.039766,Yes,0.101256,Yes,0.174941
