Market_Date,Archive_Time,System_Refresh_Time,Ticker,Lifecycle,Decision_Support,Detection,Signal_Window,ML_Quality,ML_Daily_Rank,ML_Signal_Date,Confirmation,Rotation,Structure,Structure_History,MA_Breadth,Pct_vs_EMA20,Pct_vs_MA50,Close
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,VIXY,6 — BELOW STRUCTURE,▼ STRUCTURAL CAUTION,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,▼ DETERIORATING,LAGGING,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,0/5 ABOVE,-0.021,-0.0944312428969934,17.530000686645508
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,VNQ,5 — WEAKENING / PULLBACK,● PULLBACK / REVIEW,▼ BELOW EMA20,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,— NOT CONFIRMED,WATCH,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,1/5 ABOVE,-0.022,-0.0388642050967775,94.0999984741211
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,VOO,5 — WEAKENING / PULLBACK,● PULLBACK / REVIEW,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,— LOW,,2026-09-04,— NOT CONFIRMED,WATCH,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,2/5 ABOVE,-0.009,-0.0021785243364099,696.2000122070312
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,WEAT,5 — WEAKENING / PULLBACK,▲ NEW DETECTION,▲ DAY 0 DETECTION,DAY 0 — DETECTION,— NO CURRENT ML SIGNAL,,,▲ EARLY CONFIRMATION,WEAKENING,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,5/5 ABOVE,0.0,0.0439059215484074,26.31999969482422
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,XBI,5 — WEAKENING / PULLBACK,● PULLBACK / REVIEW,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,▼ DETERIORATING,WEAKENING,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,2/5 ABOVE,-0.038,-0.025157431726844,154.02999877929688
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,XLB,5 — WEAKENING / PULLBACK,● PULLBACK / REVIEW,▼ BELOW EMA20,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,— NOT CONFIRMED,WATCH,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,1/5 ABOVE,-0.022,-0.0203916116324875,50.72999954223633
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,XLC,2 — CONFIRMING / BUILDING,▲ EARLY WATCH,▲ DAY 2 CONFIRMATION,DAY 2 — CONFIRMATION WINDOW,— LOW,,2026-09-04,▲ EMERGING CONFIRMATION,EMERGING,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,5/5 ABOVE,0.016,0.0265204709949227,114.02999877929688
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,XLE,3 — LEADING,● ESTABLISHED LEADER,▲ ESTABLISHED ABOVE EMA20,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,▲ CONFIRMED LEADER,LEADER,▲ FULL BULL STRUCTURE,FULL LONG-TERM HISTORY AVAILABLE,5/5 ABOVE,0.034,0.0875769122911203,65.93000030517578
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,XLF,5 — WEAKENING / PULLBACK,● PULLBACK / REVIEW,▼ RECENT EMA20 BREAK,OUTSIDE BULLISH EARLY WINDOW,— LOW,,2026-09-04,— NOT CONFIRMED,WATCH,● LONG-TERM TREND INTACT,FULL LONG-TERM HISTORY AVAILABLE,2/5 ABOVE,-0.01,-0.0053711706352677,56.84999847412109
2026-09-15,2026-09-15 20:19:31,2026-09-15 17:15:27,XLI,6 — BELOW STRUCTURE,▼ STRUCTURAL CAUTION,▼ BELOW EMA20,OUTSIDE BULLISH EARLY WINDOW,— NO CURRENT ML SIGNAL,,,▼ DETERIORATING,LAGGING,▼ STRUCTURAL CAUTION,FULL LONG-TERM HISTORY AVAILABLE,0/5 ABOVE,-0.036,-0.0604150088755585,168.85000610351562
